Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL,Tender process type,Tender document URL,Contract document URL,Performance information URL,Location service label,Location served URI
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43317,,Spot Purchased Day Care For Adults (Dormie House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Dormie House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,11135 ,Estimated,,ROGER ARMOOGUM T/A DORMIE HOUSE RESIDENTIAL CARE HOME,,,143219 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43318,,Spot Purchased Day Care For Adults (Dorrington House (Dereham)),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Dorrington House (Dereham)),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,LORRAINE DORRINGTON AND STEPHEN DORRINGTON T/A DORRINGTON HOUSE (DEREHAM),,,68301 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43319,,Spot Purchased Day Care For Adults (Dorrington House (Watton)),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Dorrington House (Watton)),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,LORRAINE DORRINGTON AND STEPHEN DORRINGTON T/A DORRINGTON HOUSE (DEREHAM),,,68301 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43320,,Spot Purchased Day Care For Adults (Dove Court Care Home ),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Dove Court Care Home ),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,ADIEMUS CARE LIMITED,07747136,,678720 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43321,,Spot Purchased Day Care For Adults (Downham Grange),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Downham Grange),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,295351 ,Estimated,,KINGSLEY CARE HOMES LIMITED,06499955,,95789 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43322,,Spot Purchased Day Care For Adults (Drayton Wood),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Drayton Wood),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,116002 ,Estimated,,BENELL CARE SERVICES LIMITED,gb/03281717,,79508 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43323,,Spot Purchased Day Care For Adults (Ealing House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Ealing House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,V W & J A EWING T/A EALING HOUSE,,,1046765 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43324,,Spot Purchased Day Care For Adults (Eckling Grange),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Eckling Grange),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,ECKLING GRANGE LIMITED,gb/00853423,,68632 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43325,,Spot Purchased Day Care For Adults (Edith Cavell Day Centre ),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Edith Cavell Day Centre ),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,52746 ,Estimated,,EDITH CAVELL DAY CENTRE,,,79639 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43326,,Spot Purchased Day Care For Adults (Elmwood Woodcraft Activity Centre),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Elmwood Woodcraft Activity Centre),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,108634 ,Estimated,,INDEPENDENCE WITH CARE LIMITED,gb/06206917,,139656 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43327,,Spot Purchased Day Care For Adults (Emmerich Court (Crossroads)),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Emmerich Court (Crossroads)),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,10610 ,Estimated,,CROSSROADS CARE EAST ANGLIA LIMITED,,,920767 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43328,,Spot Purchased Day Care For Adults (Engage Norfolk Limited),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Engage Norfolk Limited),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,3456 ,Estimated,,ENGAGE NORFOLK LTD,,,1147769 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43329,,Spot Purchased Day Care For Adults (Faldonside Lodge),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Faldonside Lodge),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,MRS J SOOBRAYEN T/A FALDONSIDE LODGE,,,110236 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43330,,Spot Purchased Day Care For Adults (Felmingham Old Rectory),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Felmingham Old Rectory),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,AKARI CARE LTD,,,1177800 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43331,,Spot Purchased Day Care For Adults (Field View),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Field View),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,IMPERIAL CARE HOMES LIMITED,,,70965 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43332,,Spot Purchased Day Care For Adults (First Focus),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (First Focus),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,2062 ,Estimated,,FIRST FOCUS,,,87841 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43333,,Spot Purchased Day Care For Adults (Fitzroy Support  (North Walsham)),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Fitzroy Support  (North Walsham)),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,173035 ,Estimated,,FITZROY SUPPORT,,,829788 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43334,,Spot Purchased Day Care For Adults (Fitzroy Support (The Maltings)),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Fitzroy Support (The Maltings)),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,FITZROY SUPPORT,,,829788 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43336,,Spot Purchased Day Care For Adults (Forward Day Centre),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Forward Day Centre),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,1585037 ,Estimated,,FORWARD,,,184141 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43337,,Spot Purchased Day Care For Adults (Furze Hill Day Centre ),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Furze Hill Day Centre ),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,122974 ,Estimated,,FURZE HILL DAY CENTRE,,,69113 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43338,,Spot Purchased Day Care For Adults (Gable (The)),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Gable (The)),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,GABLES CARE HOME FOR THE ELDERLY LTD,,,1007759 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43339,,Spot Purchased Day Care For Adults (Gemini Day Care Centre Limited),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Gemini Day Care Centre Limited),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,317337 ,Estimated,,GEMINI,,,83047 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43340,,Spot Purchased Day Care For Adults (Genesis - Orwell Mencap),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Genesis - Orwell Mencap),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,50911 ,Estimated,,ORWELL MENCAP,,,134418 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43341,,Spot Purchased Day Care For Adults (Georgina House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Georgina House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,MRS MIRANDA TELFER T/A GEORGINA HOUSE,,,69320 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43342,,Spot Purchased Day Care For Adults (Glaven District Caring Committee),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Glaven District Caring Committee),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,14275 ,Estimated,,GLAVEN DISTRICT CARING COMMITTEE,,,169382 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43343,,Spot Purchased Day Care For Adults (Glendon House ),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Glendon House ),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,MR & MRS R SMART T/A GLENDON HOUSE,,,69357 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43344,,Spot Purchased Day Care For Adults (Goodwins Hall),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Goodwins Hall),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,HALLMARK CARE HOMES (GAYWOOD) LIMITED,gb/03766633,,69612 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43345,,Spot Purchased Day Care For Adults (Gorselands),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Gorselands),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,CIEVES LIMITED,,,67539 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43346,,Spot Purchased Day Care For Adults (Grays Fair Court),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Grays Fair Court),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,3238 ,Estimated,,AGE UK NORFOLK,,,404032 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43347,,Spot Purchased Day Care For Adults (Great Yarmouth & Waveney Mind Befriending ),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Great Yarmouth & Waveney Mind Befriending ),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,48883 ,Estimated,,GREAT YARMOUTH AND WAVENEY MIND,,,79683 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43349,,Spot Purchased Day Care For Adults (Halsey House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Halsey House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,62296 ,Estimated,,ROYAL BRITISH LEGION T/A HALSEY HOUSE,,,69614 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43350,,Spot Purchased Day Care For Adults (Hamlet Centre Trust (The)),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Hamlet Centre Trust (The)),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,1160955 ,Estimated,,THE HAMLET CENTRE TRUST,02518973,,79703 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43351,,Spot Purchased Day Care For Adults (Hassingham House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Hassingham House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,79647 ,Estimated,,HASSINGHAM LIMITED,05509279,,111061 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43352,,Spot Purchased Day Care For Adults (Headway (Outreach) - Norfolk & Waveney - Gt Yarmouth),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Headway (Outreach) - Norfolk & Waveney - Gt Yarmouth),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,262206 ,Estimated,,HEADWAY NORFOLK & WAVENEY LTD,gb/02686901,,69699 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43354,,Spot Purchased Day Care For Adults (Headway Norfolk & Waveney - King's Lynn),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Headway Norfolk & Waveney - King's Lynn),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,70591 ,Estimated,,HEADWAY NORFOLK & WAVENEY LTD,gb/02686901,,69699 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43355,,Spot Purchased Day Care For Adults (Headway Norfolk & Waveney-Norwich),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Headway Norfolk & Waveney-Norwich),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,429964 ,Estimated,,HEADWAY NORFOLK & WAVENEY LTD,gb/02686901,,69699 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43356,,Spot Purchased Day Care For Adults (Headway-West Suffolk),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Headway-West Suffolk),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,37956 ,Estimated,,WEST SUFFOLK HEADWAY LIMITED,,,839775 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43357,,Spot Purchased Day Care For Adults (Heath End Farm (SHES)),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Heath End Farm (SHES)),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,833300 ,Estimated,,SHELTERED HORTICULTURAL EMPLOYMENT SCHEME LTD.,gb/02827072,,74539 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43358,,Spot Purchased Day Care For Adults (Heath House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Heath House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,HEATHCARE LTD,07435434,,577469 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43359,,Spot Purchased Day Care For Adults (Heritage House Caring Group),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Heritage House Caring Group),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,152466 ,Estimated,,HERITAGE HOUSE CARING GROUP (WELLS-NEXT-THE-SEA) LTD,,,69761 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43360,,Spot Purchased Day Care For Adults (Heywoods Grange),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Heywoods Grange),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,HEYWOODS GRANGE,,,69790 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43361,,Spot Purchased Day Care For Adults (Hickathrift House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Hickathrift House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,13873 ,Estimated,,BARCHESTER HEALTHCARE HOMES LIMITED,,,617525 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43362,,Spot Purchased Day Care For Adults (Hickling House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Hickling House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,MR & MRS R SMART T/A HICKLING HOUSE,,,73629 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43363,,Spot Purchased Day Care For Adults (High Oaks),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (High Oaks),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,HIGH OAKS FARM LIMITED,04588913,,69800 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43364,,Spot Purchased Day Care For Adults (Highfield),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Highfield),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,STERLING CARE (UK) LIMITED,gb/06353846,,153240 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43365,,Spot Purchased Day Care For Adults (Hill Barn Care Home),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Hill Barn Care Home),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,R SMART AND DR M SMART T/A HILL BARN,,,96852 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43366,,Spot Purchased Day Care For Adults (Holly Cottage (Social Club)),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Holly Cottage (Social Club)),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,CARING IN CARE LIMITED,06958724,,260716 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43367,,Spot Purchased Day Care For Adults (Hollybrook House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Hollybrook House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,892 ,Estimated,,ANDREW FREDERICK CARE HOMES LIMITED,03576776,,79462 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43368,,Spot Purchased Day Care For Adults (Holmwood House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Holmwood House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,INTEGRATED NURSING HOMES LIMITED,,,94854 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43369,,Spot Purchased Day Care For Adults (Iceni House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Iceni House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,ZEST CARE HOMES LTD,06315771,,678710 ,,,,PART B SERVICES,,,Other,,,,,
