category,date,total_spend,YYYY,MM
Canteen Equipment - Purchase,2011-06-01,1003.31,2011,6
Engineering Design Fees,2011-07-01,108426.84,2011,7
Highway Winter Salt Usage,2012-01-01,7655.28,2012,1
Free Nursing Care  - High Band,2014-04-01,1813.2,2014,4
Building Repairs,2012-02-01,79039.52,2012,2
Newspaper Filming,2013-08-01,1748.5,2013,8
Bmf Electrical & Mechanical Maintenance,2013-12-01,5274.16,2013,12
Support Services,2011-12-01,32208.5,2011,12
Library Books - Adult Fiction,2014-05-01,2331.55,2014,5
Child In Care Residential Home Out Of Norfolk,2011-03-01,46656.84,2011,3
Supporting Families with Disabilities - Domiciliary Care,2012-12-01,892.49,2012,12
Library Books - Junior Non Fiction,2012-10-01,1718.67,2012,10
Fuel Oil,2013-07-01,1874.35,2013,7
Purchase Of Software Licences,2011-12-01,1504.6,2011,12
Legionella Improve,2011-05-01,2885.97,2011,5
Grants To Other Public Bodies,2014-05-01,17555,2014,5
Fixed Price Vehicle Maintenance,2013-06-01,7399.83,2013,6
Contract Cleaning & Other Cleaning Services,2013-12-01,1286.51,2013,12
Child In Care Residential Home Out Of Norfolk,2014-01-01,330934.21,2014,1
Equipment Repairs Maintenance & Servicing,2011-07-01,17969.05,2011,7
Free Nursing Care  - High Band,2012-08-01,598.4,2012,8
Foster Carer Allowance Special Purposes,2012-04-01,1142.04,2012,4
Police Invoices - Norfolk Camera Road Partnership,2011-05-01,48177.96,2011,5
Counsel's Fees,2011-07-01,125946.98,2011,7
Care Leavers Independent Living Grant,2012-12-01,1382,2012,12
Premises Staff Overtime,2011-10-01,2462.6,2011,10
Bmpp Minor Building Repairs,2013-09-01,10833.42,2013,9
Marketing Design Costs,2012-03-01,12121.7,2012,3
Agency Staff - Admin & Clerical - Scale A to J,2011-01-01,13951.02,2011,1
Non Staff Public Transport Costs,2014-08-01,878743.03,2014,8
Payments to Organisations Providing Services To NCC,2012-07-01,28804.75,2012,7
Members Conference Expenses-Other,2014-02-01,375,2014,2
Staff Subsistence & Conference Expenses,2013-01-01,7433.93,2013,1
Boiler & Heating Repl M&E,2014-07-01,5000,2014,7
Cost of Licenses & Subscriptions,2011-07-01,2566.33,2011,7
Non Staff Course Conference & Subsistence Expenses,2011-07-01,19650.65,2011,7
Publicity,2011-07-01,1845,2011,7
Boiler & Heating Repl M&E,2014-06-01,55990.02,2014,6
Bmpp Security Systems,2013-01-01,1906.05,2013,1
Foster Care Retainer Pay,2012-03-01,4628.58,2012,3
Bmpp Minor Building Repairs,2013-04-01,36572.76,2013,4
ICT Software Purchases Licenses & Maintenance,2013-08-01,69145.56,2013,8
Escorts (Home to School Transport),2012-08-01,767,2012,8
Bmpp Swimming Pool Maintenance,2014-01-01,239.85,2014,1
Entertainment of Council Guests,2011-06-01,488,2011,6
Non Staff Advertising - Statutory,2012-03-01,4743.06,2012,3
Non Staff Advertising - Discretionary,2012-12-01,31013.33,2012,12
Catering Staff,2012-06-01,530.28,2012,6
Training Centre Courses,2011-02-01,833.9,2011,2
Bmf External Redecoration,2013-11-01,7554.97,2013,11
Other Professional Services,2012-04-01,36603,2012,4
Purchase Catering Equipment,2011-03-01,1176,2011,3
School Equipment Inspection/Testing,2012-10-01,12725.36,2012,10
Private Finance Initiative Payments,2012-07-01,983223.99,2012,7
Broadband Virtual Private Network & Leased Lines,2011-05-01,31825.5,2011,5
Furniture Purchases,2014-04-01,4722.38,2014,4
Building Alterations & Improvements,2014-05-01,3871.94,2014,5
Staff Car & Cycle Allowances,2012-11-01,112.5,2012,11
Boiler & Heating Repl M&E,2012-06-01,17239.83,2012,6
Witnesses Expenses and Reports,2011-07-01,16578.12,2011,7
Child In Care Residential School 52 Week Out Of Norfolk,2013-11-01,324880.29,2013,11
Furniture Purchases,2013-10-01,4326.21,2013,10
Buildings - External Redecoration,2012-08-01,600,2012,8
"Awards Or Grants For School Children, Students & Learners",2014-04-01,12610,2014,4
Electricity,2012-02-01,98045.97,2012,2
ICT Other Running Costs,2013-11-01,36985.38,2013,11
Support Staff Overtime,2012-05-01,1463.17,2012,5
Environmental Health Officer - Kitchen Improvements,2011-03-01,14963.77,2011,3
Hospitality Expenses,2013-03-01,700.21,2013,3
Leaving Care Act Allowance / Personal Support,2011-02-01,539.63,2011,2
Agency Staff - Social Services Operational-Other1 April,2013-01-01,44703.37,2013,1
Free Nursing Care,2011-06-01,199728.499999999,2011,6
Bmpp Minor Building Repairs,2013-05-01,21377.03,2013,5
Fixed Price Vehicle Maintenance,2011-04-01,52448.88,2011,4
Highway Drainage Repairs,2014-08-01,295,2014,8
Agency Staff - Panel Funded Staff,2011-07-01,482.82,2011,7
Bmf Repair & Replacement Of Light,2013-11-01,5110.37,2013,11
Minor Building Repairs,2012-05-01,33397.96,2012,5
Highway Road Markings,2011-07-01,38127.92,2011,7
Enquiry Agents Fees,2013-03-01,6916.07,2013,3
Bmpp Electrical & Mechanical Maintenance,2013-08-01,7636.48,2013,8
Construction Costs - Roads - HOPS,2012-06-01,23614.48,2012,6
Agency Staff - Admin & Clerical - Scale A to J,2014-06-01,5925.94,2014,6
Linen & Laundry,2011-06-01,1376.56,2011,6
Refund Of Contributions,2013-08-01,11955.2,2013,8
Prompting Service,2011-04-01,7893.6,2011,4
Teaching Support,2012-09-01,1197,2012,9
Free Nursing Care  - High Band,2011-02-01,5984,2011,2
Agency Staff - Admin & Clerical - Scale A to J,2014-07-01,14051.5,2014,7
Subscriptions To Other Libraries,2011-10-01,1157.15,2011,10
Personal Budget - Domiciliary Care,2014-04-01,3825.2,2014,4
Highway Road Sign Maintenance,2014-03-01,2218.66,2014,3
Equipment Purchases,2013-06-01,53140.23,2013,6
"Broadband, Virtual Private Network & Leased Lines",2014-02-01,33051.23,2014,2
Purchase Of Furniture,2012-05-01,2929.65,2012,5
External Examinations Fees,2012-12-01,2506,2012,12
Other Capital,2011-11-01,2254.93,2011,11
Personal Budget - Domiciliary Care,2013-10-01,204417.36,2013,10
Fees/Expenses - Other Consultants,2011-06-01,5000,2011,6
Supporting Families with Disabilities - Domiciliary Care,2012-04-01,349.44,2012,4
Construction Costs - Roads,2013-03-01,3408121.62,2013,3
Catering Staff,2011-01-01,513.04,2011,1
Purchase Of Equipment,2013-06-01,8702.04,2013,6
School House Maintenance.,2012-11-01,1100,2012,11
Staff Advertising  Expenses,2011-08-01,3427.23,2011,8
Library Books - Junior Non Fiction,2011-10-01,2647.39,2011,10
Construction Costs - Roads - HOPS,2014-06-01,6079.16,2014,6
Agency Staff - Admin & Clerical - Scale A to J,2012-06-01,46235.65,2012,6
Compensation & Ex-Gratia Payments,2013-07-01,2400,2013,7
Purchase Of Land,2011-03-01,204100,2011,3
Direct Payments - Short Term Break,2014-02-01,702.24,2014,2
Foster Parents Payments,2012-02-01,140863.26,2012,2
Welfare/ Learning Support Assistants,2011-09-01,220.95,2011,9
Personal Budget - Domiciliary Care,2012-08-01,111319.69,2012,8
Bank Charges,2011-07-01,31014.76,2011,7
ICT Equipment Purchases,2014-01-01,364800.27,2014,1
Pension Fund Deficit Payment,2012-10-01,34750,2012,10
Housing Related Support-Other Bodies,2014-05-01,156819.88,2014,5
Highway Landscape Maintenance,2014-03-01,3150,2014,3
Non Staff Public Transport Costs,2013-01-01,823621.17,2013,1
Personal Budget - Domiciliary Care,2013-02-01,134392.88,2013,2
Placement Cost - Agency Fee,2014-06-01,1194.42,2014,6
Staff Subsistence & Conference Expenses,2014-08-01,8947.45,2014,8
Security Systems,2011-11-01,4813.61,2011,11
Swimming & Games Facilities,2011-12-01,6740,2011,12
CONSTR COSTS - M&E OTHER,2014-02-01,107586.11,2014,2
Temporary Staff Admin & Clerical,2012-06-01,12245.71,2012,6
Equipment Repairs Maintenance & Servicing,2013-08-01,58778.67,2013,8
Bmpp Security Systems,2014-08-01,15464.68,2014,8
Placement Cost - Agency Fee,2014-07-01,9000,2014,7
Printing Stationery and Photocopying,2013-07-01,57111.34,2013,7
Highway Gulley Emptying,2012-04-01,12800,2012,4
Spoken Word Cassettes,2012-04-01,2942,2012,4
Postage & Postal Services,2011-01-01,814,2011,1
ICT Equipment Purchases,2011-03-01,1147422.07,2011,3
External Redecoration,2011-11-01,109047.11,2011,11
Counsel's Fees,2013-08-01,51663.91,2013,8
Waste Disposal & Recycling Payments,2011-06-01,346256.72,2011,6
Highway Traffic Signals and Systems Planned and Contracted Maintenance,2014-02-01,92391.32,2014,2
Bmpp Boiler Servicing,2013-12-01,81230.77,2013,12
School House Maintenance.,2013-09-01,698.43,2013,9
Building Repairs,2012-01-01,70188.04,2012,1
CONSTR COSTS - M&E OTHER,2012-05-01,24087.11,2012,5
Admin & Clerical - Scale A to J,2012-10-01,9721.72,2012,10
Highway Winter Salt Usage,2012-02-01,228498.49,2012,2
"Printing, Stationery and Photocopying",2014-08-01,72430.74,2014,8
Staff CRB/Police Reports,2011-09-01,19668,2011,9
Care Leavers Rent & Accommodation,2011-06-01,32082.76,2011,6
Temporary Staff Admin & Clerical,2014-07-01,4135.9,2014,7
General Disbursements,2011-05-01,523.8,2011,5
Free Nursing Care  - High Band,2013-11-01,1813.2,2013,11
Adult Placement Scheme,2012-01-01,17582.04,2012,1
Contract Transport  Hire,2012-02-01,2042367.56,2012,2
Highway Traffic Signals and Systems Planned and Contracted Maintenance,2012-05-01,41679.94,2012,5
Contract Plant & Machinery Hire,2012-04-01,273485.89,2012,4
Temporary Staff Admin & Clerical,2014-06-01,3795.03,2014,6
Cleaning Materials Purchases,2011-10-01,1848.52,2011,10
Quality Assurance,2011-04-01,452.14,2011,4
Highway Drainage Repairs,2013-01-01,3782.3,2013,1
Non Staff Advertising - Statutory,2013-06-01,4604.76,2013,6
Swimming Pool Plant,2012-09-01,2566.45,2012,9
Engineering Design Fees,2013-08-01,2200,2013,8
Foster Care Retainer Pay,2013-06-01,10782.92,2013,6
Boiler Servicing,2011-08-01,116529.74,2011,8
Postage & Postal Services,2014-07-01,13643.24,2014,7
Staff Car & Cycle Allowances,2013-04-01,458.1,2013,4
Fire Alarms,2012-03-01,19526.65,2012,3
Construction Costs Roads Other,2013-04-01,15755,2013,4
Purchase Of IT,2014-03-01,314422.93,2014,3
Placement Cost - Agency Fee,2011-01-01,10885.5,2011,1
Highway Traffic Signals and Systems Energy,2011-07-01,14202.97,2011,7
Bmf Plant Replacements,2013-12-01,16307.52,2013,12
Purchase Of Equipment,2012-03-01,13077.4,2012,3
Admin/ Chief Officers - Scale K and Above,2012-05-01,14077.19,2012,5
Management Fees - Performance,2013-08-01,399588.75,2013,8
Supported Living,2011-08-01,1483409.73,2011,8
Child In Care Residential School 52 Week In Norfolk,2014-05-01,43336.04,2014,5
Alterations To Service - Electricity,2012-02-01,21417.15,2012,2
Asphalting,2011-10-01,30580.11,2011,10
Highway Winter Gritting,2011-02-01,59023.76,2011,2
Staff Car & Cycle Allowances,2013-09-01,20,2013,9
M&E Other (Schools),2012-04-01,27856.7,2012,4
Highway Pothole Repairs,2014-02-01,28270,2014,2
Construction Costs Roads Other,2013-09-01,636.4,2013,9
Water and Sewerage Costs,2012-09-01,560.92,2012,9
ICT Other Running Costs,2011-02-01,1750,2011,2
Section 17 Financial Assistance,2013-08-01,1515,2013,8
Purchase Of Farm Tools & Equipment,2011-01-01,534.6,2011,1
Postage & Postal Services,2014-06-01,9345.21,2014,6
Gas Pressure Testing,2011-05-01,16682.51,2011,5
Grants To Businesses,2014-01-01,2875,2014,1
Consultancy,2011-03-01,3687.38,2011,3
Homelessness Support Child In Need,2011-06-01,6131.42,2011,6
Agency Staff - Operational Hay & M,2012-02-01,11182.2,2012,2
Postage & Postal Services,2012-06-01,8364.54,2012,6
Fire Service Radio Equipment - Running Costs,2014-02-01,1632,2014,2
Breathing Apparatus,2011-02-01,25518.26,2011,2
Direct Payment - Domiciliary Care,2013-12-01,-868.66,2013,12
Service Level Agreement With Organisations Providing Services to NCC,2011-11-01,951170.11,2011,11
Graphics,2011-02-01,1029,2011,2
Fencing,2012-10-01,713.98,2012,10
Escorts (Home to School Transport),2013-02-01,180,2013,2
Staff Excess Travel Expenses,2011-02-01,195.54,2011,2
Contract Overheads,2012-09-01,176987.8,2012,9
Construction Costs Roads Other,2013-05-01,2037.74,2013,5
Landfill Leachate Costs,2014-05-01,62488.63,2014,5
Adoption Allowance Payments,2011-09-01,8434.32,2011,9
Services Provided By Landlord,2012-01-01,5048.18,2012,1
Equipment Purchases,2012-03-01,102819.42,2012,3
Agency Staff - Admin/Chief Officers - Scale K and Above,2013-01-01,13266.81,2013,1
Bmpp Minor Building Repairs,2012-11-01,29542.97,2012,11
Furniture Purchases,2013-02-01,23093.11,2013,2
Construction Costs - New Buildings,2011-08-01,85832,2011,8
Library Books - Electronic Subscriptions,2012-01-01,18155,2012,1
Schedule of Rates Vehicle Maintenance,2014-05-01,6870.75,2014,5
Temporary Staff Admin & Clerical,2011-01-01,14721.44,2011,1
Highway Pothole Repairs,2012-05-01,5391.83,2012,5
Vehicle  Leasing Costs,2013-12-01,7483.62,2013,12
Staff Medical & Eyesight  Fees,2013-08-01,45731.02,2013,8
Pension Fund Deficit Payment,2011-10-01,34750,2011,10
Programme Management,2011-01-01,3650,2011,1
Foster Parents Payments,2012-01-01,136380.85,2012,1
Services of Solicitors Agents,2011-01-01,987.5,2011,1
Plant Replacements,2012-06-01,28310.8,2012,6
Internal Redecoration,2012-05-01,4266,2012,5
Bmf Security Systems,2014-01-01,2982.27,2014,1
Server Management,2011-05-01,858.28,2011,5
Cost of Sales,2013-01-01,2219.25,2013,1
Highway Patching to Footway,2011-03-01,28954.49,2011,3
Personal Budget - Respite Residential Care,2012-05-01,19189.01,2012,5
Consultants Design Fees,2012-07-01,311.59,2012,7
Private Finance Initiative Payments,2013-12-01,943328.03,2013,12
Highway Gulley Emptying,2012-12-01,70296.64,2012,12
Spoken Word Cassettes,2012-12-01,16055.3,2012,12
Agency Staff - Operational APT&C,2011-12-01,177259.46,2011,12
Vehicle Repair Costs,2012-05-01,679.33,2012,5
Highway Road Markings,2013-08-01,77948.75,2013,8
Admin & Clerical - Scale A to J,2011-10-01,2456.04,2011,10
Equipment Purchases For Service Users,2011-09-01,81563.14,2011,9
Construction - Enabling Works,2011-01-01,4000,2011,1
Vehicle Repair Costs,2014-02-01,3989,2014,2
Other Hired & Contracted Services,2011-11-01,1828088.11,2011,11
Broadband Virtual Private Network & Leased Lines,2012-09-01,60102.43,2012,9
Awards Or Grants For School Children Students & Learners,2011-05-01,960.08,2011,5
Telephone Rental & Calls,2014-08-01,120732.84,2014,8
Pens To Retired Employees,2012-03-01,15002.16,2012,3
On-Line Bank Charges,2011-12-01,3175.99,2011,12
Road Maintenance Contractor Payments,2014-08-01,81487,2014,8
Cleaning Materials Purchases,2012-10-01,2179.31,2012,10
Personal Budget - Respite Residential Care,2014-02-01,22324.64,2014,2
Personal Budget - Domiciliary Care,2013-11-01,394529.49,2013,11
Certificate - Electricity Power & Light,2013-01-01,11134.01,2013,1
Fees & Charges,2011-09-01,191088.27,2011,9
Contract Plant & Machinery Hire,2012-12-01,133774.98,2012,12
Payments to Organisations Providing Services To NCC,2013-12-01,595261.2,2013,12
Fixed Price Vehicle Maintenance,2012-03-01,19127.83,2012,3
Child In Care Residential School 52 Week Out Of Norfolk,2014-04-01,108440.98,2014,4
Buildings Fixtures & Fittings,2014-05-01,1676.55,2014,5
Services of Solicitors Agents,2014-06-01,1890.5,2014,6
Bmf Asphalting,2014-08-01,4885,2014,8
Child In Care Residential School 52 Week Out Of Norfolk,2013-10-01,56344.71,2013,10
Furniture Purchases,2013-11-01,2095.57,2013,11
Cost of Providing Short Term Breaks,2013-03-01,775.75,2013,3
Witnesses Expenses and Reports,2013-08-01,1054.5,2013,8
Electricity,2012-01-01,109804.41,2012,1
Bmf Repair & Replacement Of Light,2014-04-01,2348.5,2014,4
Asphalting,2012-10-01,8305.86,2012,10
Library Books - Junior Fiction,2011-08-01,12394.2,2011,8
ICT Other Running Costs,2013-10-01,282475.32,2013,10
NPS Feasibility Study,2011-02-01,6153.47,2011,2
Purchase Of Vehicles over 20K,2014-02-01,311785,2014,2
Direct Payment - Respite Residential Care,2011-03-01,547,2011,3
Bmpp Fencing,2013-06-01,4956,2013,6
DVD'S,2014-05-01,15013.11,2014,5
Bmf Repair & Replacement Of Light,2013-10-01,30284.92,2013,10
Construction - Enabling Works,2012-06-01,450,2012,6
M&E Other (Schools),2012-12-01,102421.17,2012,12
ICT Other Running Costs,2014-04-01,25342.03,2014,4
Teaching Support,2011-05-01,16610.35,2011,5
Services of Solicitors Agents,2014-07-01,19950,2014,7
Highway Winter Gritting,2014-04-01,6136.8,2014,4
Construction - Enabling Works,2014-06-01,50947,2014,6
Fencing,2011-10-01,1684.8,2011,10
Ext Highways - Utilities Trench & Cover Repairs,2012-11-01,19751.93,2012,11
Consultants Fees and Charges,2011-08-01,20234.52,2011,8
Purchase Of Books,2011-06-01,1033.01,2011,6
Sessional Fees,2011-11-01,26441.2,2011,11
Child In Care Residential School 52 Week Out Of Norfolk,2012-08-01,146590.12,2012,8
Staff Public Transport Costs,2014-01-01,50247.4,2014,1
Cost of Licenses & Subscriptions,2013-08-01,23822,2013,8
Foster Care Retainer Pay,2011-04-01,411.19,2011,4
Non Staff Course Conference & Subsistence Expenses,2013-08-01,26624.07,2013,8
Estate / Site Management Costs,2011-06-01,20071.62,2011,6
Generators & Repairs Arising,2011-03-01,1604.25,2011,3
Non Staff Advertising - Statutory,2011-04-01,4718.3,2011,4
Bmpp Repair & Replacement Of Light,2014-06-01,859.9,2014,6
Long Term Care with Nursing,2011-12-01,1767257.74,2011,12
Staff Public Transport Costs,2011-03-01,30668.9,2011,3
Child In Care Family Unit,2011-10-01,55928.76,2011,10
ICT Other Running Costs,2012-08-01,17085,2012,8
ICT Software Purchases Licenses & Maintenance,2011-07-01,73687.87,2011,7
Valuers Fees,2011-04-01,6470.01,2011,4
Operational Equipment - Purchase,2011-05-01,543.95,2011,5
Bmf External Redecoration,2013-10-01,5573.28,2013,10
Plant Replacements,2011-01-01,60424.14,2011,1
Marketing Design Costs,2011-04-01,17095,2011,4
Construction Costs Roads Other,2014-08-01,636837.26,2014,8
Bmpp Lifts Maintenance & Repairs,2013-02-01,3160.04,2013,2
Vehicle Insurance,2011-02-01,-316,2011,2
Interest Paid on External Loans,2012-03-01,266455.48,2012,3
Staff Car & Cycle Allowances,2014-08-01,136.8,2014,8
Building Alterations & Improvements,2012-04-01,39012.93,2012,4
Materials Purchases,2013-06-01,182948.62,2013,6
Personal Budget - Domiciliary Care,2014-01-01,257746.18,2014,1
Free Nursing Care,2014-02-01,81705.5,2014,2
Private Contractor Catering Payments,2012-01-01,74149.61,2012,1
Section 17 Financial Assistance,2012-10-01,4014,2012,10
Alterations To Service - Electricity,2011-12-01,1083,2011,12
ICT Equipment Purchases,2013-02-01,53289.05,2013,2
Personal Budget - Domiciliary Care,2011-03-01,4410.2,2011,3
Hire Of Premises,2011-07-01,806.56,2011,7
Special Guardianship Child In Need,2012-12-01,1100,2012,12
Direct Payment - Day Care Services / Supported Activities,2011-09-01,1202,2011,9
Witnesses Expenses and Reports,2011-10-01,7518.84,2011,10
Highway Traffic Signals and Systems Outstation Communication Maintenance,2011-05-01,3138.8,2011,5
Highway Drainage Repairs,2012-11-01,5408.4,2012,11
Bmf Internal Redecoration,2013-02-01,5487,2013,2
Staff Advertising  Expenses,2011-04-01,3786.65,2011,4
Providing Financial Assistance to Service Users,2011-09-01,9032.4,2011,9
Temporary Staff Admin & Clerical,2014-03-01,25068.66,2014,3
Agency Staff - Operational Hay & M,2011-12-01,6606.6,2011,12
Purchase Of IT,2011-01-01,294235.84,2011,1
Placement Cost - Agency Fee,2014-03-01,3583.26,2014,3
Bmpp Plant Replacements,2013-08-01,11949.99,2013,8
Staff Medical & Eyesight  Fees,2012-10-01,13959.86,2012,10
Free Nursing Care,2012-05-01,16989.35,2012,5
Equipment For Disabled People,2011-05-01,77742.21,2011,5
Non Staff Public Transport Costs,2012-11-01,807370.96,2012,11
Stationery,2011-01-01,504,2011,1
Non Staff Course Conference & Subsistence Expenses,2011-10-01,11369.63,2011,10
Child In Care Agency Fostering,2012-07-01,1151653.26,2012,7
Cost of Licenses & Subscriptions,2011-10-01,79288.94,2011,10
Members Conference Expenses-Other,2011-06-01,540,2011,6
Highway Patching to Footway,2013-11-01,53350.85,2013,11
Bmf Security Systems,2013-11-01,2749.53,2013,11
Other Professional Services,2014-05-01,76363.16,2014,5
Supporting Families with Disabilities - Domiciliary Care,2014-05-01,5920.72,2014,5
Bank Charges,2011-10-01,40981.79,2011,10
Purchase Of Furniture,2011-06-01,71005,2011,6
Agency Staff - Permanent Teachers,2011-11-01,5090.11,2011,11
Bmpp Security Systems,2013-09-01,1870.17,2013,9
Counsel's Fees,2012-10-01,33275,2012,10
Swimming & Games Facilities,2012-02-01,5490,2012,2
Highway Emergency Cleansing,2012-12-01,449.2,2012,12
Fixed Price Vehicle Maintenance,2011-08-01,20773.73,2011,8
Staff Subsistence & Conference Expenses,2013-04-01,18311.62,2013,4
Office Equipment & Supplies,2011-02-01,6117.77,2011,2
Equipment Repairs Maintenance & Servicing,2012-10-01,2784,2012,10
Library Books - Adult Fiction,2012-12-01,22358.82,2012,12
Agency Staff - Admin/Chief Officers - Scale K and Above,2012-11-01,30548.86,2012,11
Purchase Of Fixtures & Fittings,2011-04-01,600,2011,4
Bmpp Security Systems,2013-04-01,10362.31,2013,4
Linen & Laundry,2012-05-01,2329.37,2012,5
Agency Staff - Social Services Operational-Other1 April,2013-05-01,55183.22,2013,5
Library Books - Junior Non Fiction,2011-07-01,562.91,2011,7
Purchase Of IT,2012-06-01,98040.1,2012,6
Bmpp Minor Building Repairs,2013-01-01,14830.67,2013,1
Highway Drainage Rodding and Jetting,2011-11-01,23293.97,2011,11
Staff Public Transport Costs,2013-11-01,27640.76,2013,11
Books and Publications,2011-02-01,27327.86,2011,2
Support Services,2012-01-01,22155,2012,1
Buildings - External Redecoration,2014-01-01,1496,2014,1
Site Invest/Surveys,2013-08-01,1050,2013,8
Library Books - Junior Fiction,2012-03-01,15891.23,2012,3
Staff Subsistence & Conference Expenses,2013-09-01,3875.51,2013,9
Broadband Virtual Private Network & Leased Lines,2013-07-01,22869.07,2013,7
Pension Fund Deficit Payment,2013-08-01,34750,2013,8
Other Miscellaneous Expenses,2011-12-01,1350,2011,12
Minor Building Repairs,2011-06-01,45697.85,2011,6
Private Vol. Ind. School Pre-School & Playgroup,2014-05-01,719443.02,2014,5
Engineering Design Fees,2012-10-01,214888.08,2012,10
Highway Landscape Maintenance,2011-01-01,4458,2011,1
Bmf Tank Clean/Water System Disinf,2013-12-01,2110.28,2013,12
Loose Furniture & Fittings-General,2011-04-01,14304.5,2011,4
Staff Subsistence & Conference Expenses,2013-05-01,14436.64,2013,5
Council Tax / Business Rates Payments,2011-04-01,1664.42,2011,4
Contract Taxi Hire,2011-11-01,8960.06,2011,11
Subscriptions To Other Libraries,2011-07-01,755.35,2011,7
Consultants Fees and Charges,2012-03-01,6980.45,2012,3
"Awards Or Grants For School Children, Students & Learners",2014-01-01,13930,2014,1
Agency Staff - Social Services Operational-Other1 April,2013-09-01,21722.04,2013,9
Purchase Of IT,2014-06-01,428269.83,2014,6
Bmf Electrical Rewiring,2013-02-01,614.77,2013,2
Postage & Postal Services,2014-03-01,2572.65,2014,3
Construction Costs-Mobile Classrooms,2012-07-01,2790,2012,7
Standard Fund Supply Teachers,2014-07-01,1060.98,2014,7
Purchase Of IT,2014-07-01,67483.94,2014,7
Contract Transport  Hire,2011-12-01,2241073.52,2011,12
Furniture Purchases,2014-01-01,3314.1,2014,1
Bmpp Security Systems,2013-05-01,4651.66,2013,5
Other Agency Payments,2011-05-01,173167.25,2011,5
Agency Staff - Social Services Operational-Other1 April,2013-04-01,63257.43,2013,4
Escorts (Home to School Transport),2011-03-01,1214.3,2011,3
Highway Road Markings,2011-10-01,67624.58,2011,10
Admin & Clerical - Scale A to J,2013-08-01,36787.46,2013,8
Free Nursing Care  - High Band,2014-01-01,1813.2,2014,1
Preliminary Design Fees,2013-09-01,4882.27,2013,9
Highway Lighting Repairs,2011-08-01,880,2011,8
Contract Overheads,2013-07-01,145000,2013,7
Child In Care Residential Home Out Of Norfolk,2012-08-01,515811.1,2012,8
Bmf Security Systems,2013-02-01,2042.71,2013,2
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,2013-09-01,3780.28,2013,9
Highway Patching to Footway,2013-02-01,26127.91,2013,2
Building Alterations & Improvements,2012-12-01,45529.44,2012,12
Bmf Asphalting,2013-04-01,8030,2013,4
Self Employed Foster Carers,2011-01-01,8772,2011,1
Preliminary Design Fees,2013-04-01,2895,2013,4
Bmpp Reroofing,2013-08-01,10381.87,2013,8
Education Repair & Replacement of Boats,2011-02-01,558.44,2011,2
Fuel Oil,2011-05-01,17289.62,2011,5
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,2013-04-01,5031.75,2013,4
Witnesses Expenses and Reports,2012-10-01,9530.03,2012,10
Grants To Outside Bodies,2012-04-01,373020,2012,4
Customer Research & Insight,2011-12-01,5397,2011,12
Certificate - Electricity Power & Light,2012-11-01,130022.37,2012,11
Free Nursing Care  - High Band,2011-03-01,3846.9,2011,3
Special Guardianship Child In Need,2012-04-01,550,2012,4
School Equipment Inspection/Testing,2011-07-01,19105.83,2011,7
Vehicle Insurance,2012-08-01,430,2012,8
Staff Medical & Eyesight  Fees,2011-10-01,11596.21,2011,10
Other Expenses,2012-07-01,5266.92,2012,7
Agency,2013-11-01,33805.71,2013,11
Child In Care Residential Home Out Of Norfolk,2013-10-01,341697.31,2013,10
Cost of Sales,2012-11-01,13024.16,2012,11
Care Leavers Personal Allowance/Support,2011-07-01,4169.1,2011,7
Child In Care Residential Home Out Of Norfolk,2014-04-01,346303.61,2014,4
ICT Equipment Purchases,2013-11-01,264385.17,2013,11
Permanent Teachers,2011-11-01,9384.38,2011,11
Bmf Building Work,2014-02-01,4659.38,2014,2
Non Staff Course Conference & Subsistence Expenses,2012-10-01,6114.53,2012,10
Highway Street Lighting Energy,2011-06-01,82405.48,2011,6
Long Term Care with Nursing,2012-02-01,949786.9,2012,2
Agency Staff - Supply Teachers,2012-07-01,14546.37,2012,7
Cost of Licenses & Subscriptions,2012-10-01,4800,2012,10
Preliminary Design Fees,2013-05-01,5462,2013,5
Purchase Of Land,2011-02-01,118768.99,2011,2
Water and Sewerage Costs,2013-07-01,12978.83,2013,7
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,2013-05-01,11800.88,2013,5
Non Staff Advertising - Discretionary,2014-05-01,6372.2,2014,5
Grants,2011-05-01,1740,2011,5
Alterations To Service - Telecom,2014-02-01,6697.32,2014,2
Highway Emergency Cleansing,2012-04-01,113.22,2012,4
Purchase Of Equipment,2011-08-01,6507.13,2011,8
Bank Charges,2012-10-01,29227.03,2012,10
Office Equipment & Supplies,2014-04-01,22870.17,2014,4
Supported Living,2012-03-01,756497.920000001,2012,3
Counsel's Fees,2011-10-01,36455.2,2011,10
Ext Highways - Utilities Trench & Cover Repairs,2013-01-01,31573.01,2013,1
Library Books - Adult Fiction,2012-04-01,21234.68,2012,4
Fire Alarms,2011-08-01,27656.97,2011,8
Boiler Servicing,2012-03-01,168448.38,2012,3
Office Equipment & Supplies,2013-10-01,18010.98,2013,10
Construction - Enabling Works,2014-03-01,65965,2014,3
Operational Staff - Scale A to J,2013-04-01,1050,2013,4
Equipment Repairs Maintenance & Servicing,2011-10-01,166216.36,2011,10
Staff Advertising  Expenses,2013-06-01,1857.35,2013,6
Accreditation Scheme Payments,2012-05-01,445628.99,2012,5
Bmf Electrical Rewiring,2013-11-01,3879.38,2013,11
