supplier_name,org_type,total_spend,YYYY
PSH ENVIRONMENTAL LTD.,SMALL BUSINESS,930,2011
QUINN CONSTRUCTION SERVICES (ANGLIA) LIMITED,SMALL BUSINESS,11550,2012
VEOLIA ES CLEANAWAY (UK) LIMITED,NOT DEFINED,47408.38,2013
KINGS CHURCH CENTRE FACILITIES NORWICH LIMITED,SMALL BUSINESS,27342.26,2011
ADVANCED BUSINESS SOFTWARE AND SOLUTIONS LIMITED,MEDIUM / LARGE,150000,2013
WRITERS' CENTRE NORWICH,MEDIUM / LARGE,40000,2011
ARMSCARE LIMITED,SMALL BUSINESS,793303.739999995,2014
IT PERFORMS LIMITED,SMALL BUSINESS,22000,2011
ANGUS FIRE LIMITED,NOT DEFINED,38796,2014
ORACLE CORPORATION UK LIMITED,MEDIUM / LARGE,310196.26,2011
FOCUS CARING SERVICES LIMITED,SMALL BUSINESS,19512.02,2012
STATION TAXIS (KINGS LYNN) LIMITED,SMALL BUSINESS,646946.6,2012
THREADNEEDLE COMPANY IMAGE LIMITED,SMALL BUSINESS,42141.46,2012
STARDON (NORWICH) LIMITED,MEDIUM / LARGE,18061.1,2011
EXPERIAN LIMITED,MEDIUM / LARGE,69621.58,2011
BARR & GROSVENOR LIMITED,SMALL BUSINESS,1933.38,2013
TACOLNESTON PARISH HALL,CHARITY,1307.4,2012
DELTA FIRE LIMITED,SMALL BUSINESS,31838.4,2011
D. DRAKE & SON LIMITED,NOT DEFINED,2386.16,2013
"BOWERS & BARR,LIMITED",SMALL BUSINESS,1017.46,2014
FILM LINK LTD,MEDIUM / LARGE,10000,2012
NAS SERVICES LIMITED,MEDIUM / LARGE,44369.28,2012
JOHNS TAXIS (DISS) LIMITED,SMALL BUSINESS,1400,2014
SANTIA FIRE SERVICES LTD,MEDIUM / LARGE,6140,2011
THE ASHLEY SCHOOL ACADEMY TRUST,MEDIUM / LARGE,4184,2012
FEATHERS AND FLETCHINGS LIMITED,MEDIUM / LARGE,6040,2012
OMNIPORT LIMITED,MEDIUM / LARGE,26963.14,2012
SCREWFIX DIRECT LIMITED,MEDIUM / LARGE,105.86,2014
A1 CARS (SUFFOLK) LTD,SMALL BUSINESS,6787.74,2013
DISABLED PEOPLE'S EMPLOYMENT CORPORATION (GB) LTD,MEDIUM / LARGE,1900,2011
UK WEIGHING FEDERATION LTD,MEDIUM / LARGE,1100,2012
JAMES & SONS (AUCTIONEERS) LIMITED,NOT DEFINED,1357,2012
SPEARING WAITE LLP,SMALL BUSINESS,1900,2014
GREAT YARMOUTH COLLEGE,EDUCATION,464463.74,2011
FREDERICK ANDREWS LIMITED,SMALL BUSINESS,282704.92,2013
DIGITAL DISPLAYS (NORWICH) LIMITED,SMALL BUSINESS,8842,2012
IMTECH AQUA MAINTENANCE LTD,MEDIUM / LARGE,970953.600000002,2013
MARINE EAST,SMALL BUSINESS,22000,2012
NEMISYS ENTERPRISES LIMITED,SMALL BUSINESS,3372,2013
BIBBY FACTORS MANCHESTER LIMITED,MEDIUM / LARGE,9898,2012
H. S. NEAVE & SON LIMITED,SMALL BUSINESS,108349,2013
ABATE LIMITED,SMALL BUSINESS,7088,2011
CRANSWICK COUNTRY FOODS (NORFOLK) LIMITED,MEDIUM / LARGE,8248.8,2012
ICENI CARE LIMITED,SMALL BUSINESS,78918.54,2013
WIDER OPTIONS LIMITED,MEDIUM / LARGE,297587.58,2011
HC-ONE LIMITED,MEDIUM / LARGE,42705.6,2014
KARLAMAIN LIMITED,MEDIUM / LARGE,54257.84,2012
TERRY COOK CONSULTANCY LIMITED,NOT DEFINED,28400,2014
PCT CARE SERVICES LIMITED,SMALL BUSINESS,459627.36,2013
CARETECH UK LIMITED,SMALL BUSINESS,44577.96,2011
INNOVATIVE ACTIONS LIMITED,SMALL BUSINESS,4000,2011
HICKMAN LANGLEY COMPLIANCE LIMITED,SMALL BUSINESS,5250,2012
OAKS CCTV LIMITED,SMALL BUSINESS,1706.66,2011
MOSS EXPRESS LTD,SMALL BUSINESS,1202.6,2011
CROFTWOOD CARE LTD,MEDIUM / LARGE,35436.18,2012
EAST COAST RECOVERY LTD,SMALL BUSINESS,94469.44,2014
BERNHARDS SPORTS SURFACES LIMITED,SMALL BUSINESS,844791.78,2014
THE LIMES RETIREMENT HOME LTD,NOT DEFINED,55729.76,2013
SBDP1 LIMITED,SMALL BUSINESS,1331668.72,2011
MICK WARD (HEATING & PLUMBING) LIMITED,SMALL BUSINESS,33357.82,2011
CREATIVE IMAGE MANAGEMENT LIMITED,SMALL BUSINESS,4259.9,2013
ABLE COMMUNITY CARE LIMITED,SMALL BUSINESS,305109.34,2012
A C PLUMBING / HEATING & MAINTENANCE LTD,SMALL BUSINESS,155239.52,2012
HME TECHNOLOGY LIMITED,SMALL BUSINESS,7601.84,2012
KAPIL CARE HOMES LIMITED,SMALL BUSINESS,50582.52,2012
FAIRPORT CARE SERVICES LIMITED,SMALL BUSINESS,53845.36,2014
SONOMA HOTELS LIMITED,MEDIUM / LARGE,1225,2013
HOLLY CARE LIMITED,SMALL BUSINESS,95223.36,2013
STEPPING OUT BUSINESS DEVELOPMENT SERVICES LTD.,SMALL BUSINESS,25000,2012
EVENTGUARD LIMITED,MEDIUM / LARGE,40435.02,2011
DILYS LLOYD MEDIATION AND HR SERVICES LTD,NOT DEFINED,2500,2011
TAXI KO LIMITED,NOT DEFINED,63903,2014
VALE HOUSE STABILISATION SERVICES,MEDIUM / LARGE,9440,2014
DRIFTWOOD HOUSE,,304645.66,2013
STUDIO FIVE LIMITED,NOT DEFINED,1121.96,2012
LEISURE TARGET TOURISM SERVICES LIMITED,MEDIUM / LARGE,27858,2011
CYGNET CARE LIMITED,SMALL BUSINESS,431905.36,2014
FIRST FLOORING LIMITED,SMALL BUSINESS,3608,2012
VIVID LAMINATING TECHNOLOGIES LIMITED,SMALL BUSINESS,5837.94,2013
CRW SPECIAL PROJECTS LIMITED,SMALL BUSINESS,1980,2011
R. WRIGHT ACCOUNTANCY SERVICES LIMITED,NOT DEFINED,16408.58,2014
ROCHDALE BOROUGH COUNCIL,,1257.98,2014
BROADLAND GUARDING SERVICES LIMITED,MEDIUM / LARGE,17340,2012
ECONOMY WINDOWS LIMITED,SMALL BUSINESS,2945,2012
HENACRAFT LIMITED,SMALL BUSINESS,4320,2012
MARSH LIMITED,MEDIUM / LARGE,3247725.62,2012
LINKAGE COMMUNITY TRUST,EDUCATION,48592,2011
AFFINITY TRUST,MEDIUM / LARGE,3114183.07999999,2011
T.L. CARE (HAVERING) LIMITED,SMALL BUSINESS,29064,2012
BABYLAND NORWICH LIMITED,MEDIUM / LARGE,13945.38,2014
BIGFORK LIMITED,SMALL BUSINESS,15160,2013
THE BANCROFT RESIDENTIAL HOME LIMITED,SMALL BUSINESS,32912.16,2012
WILD FRONTIER ECOLOGY LIMITED,SMALL BUSINESS,1950,2014
WHITE HORSE INN ACCOMMODATION LIMITED,,5282.2,2014
BRITISH HEART FOUNDATION,MEDIUM / LARGE,1169.68,2014
GLASGOW CITY COUNCIL,,9566.12,2014
SOUTH LONDON HOSTELS LIMITED,NOT DEFINED,20478,2013
CMA ACCOUNTANCY LIMITED,SMALL BUSINESS,1082.5,2011
HEWITT-HILL LIMITED,SMALL BUSINESS,582933.380000001,2011
GODFREY - SYRETT LIMITED,MEDIUM / LARGE,1958.4,2012
VODAFONE CORPORATE LIMITED,NOT DEFINED,811753.660000001,2014
SUNNYCROFT CARE LIMITED,SMALL BUSINESS,39120,2013
INCLUSIVE TECHNOLOGY LIMITED,MEDIUM / LARGE,6049,2013
CABLE & WIRELESS COMMUNICATIONS PLC,MEDIUM / LARGE,36904.7,2011
T & P FIRE LIMITED,SMALL BUSINESS,1137812.6,2012
PRINCIPAL MEDIA LIMITED,MEDIUM / LARGE,1980,2013
ALEX REID LIMITED,MEDIUM / LARGE,3183.32,2011
SWEETSPOT GROUP LIMITED,SMALL BUSINESS,95000,2013
RICO LOGISTICS LTD,MEDIUM / LARGE,848,2011
THE MANOR HOUSE (NORTH WALSHAM WOOD) LTD.,MEDIUM / LARGE,162844.22,2013
ROCKINGHORSE DAYCARE LIMITED,NOT DEFINED,19965.48,2012
HUGH SYMONS GROUP LIMITED,MEDIUM / LARGE,31876,2014
BUNGAY HIGH SCHOOL,EDUCATION,1376,2012
MEDICAL SERVICES SOLUTIONS LIMITED,SMALL BUSINESS,950,2011
LIVESPACE THEATRE COMPANY LIMITED,SMALL BUSINESS,12400,2013
RAM ENVIRONMENTAL LIMITED,SMALL BUSINESS,987.5,2013
COMM-TECH VOICE & DATA LIMITED,SMALL BUSINESS,41437.1,2013
OAK TREE ACCOUNTANCY LTD,SMALL BUSINESS,2380,2011
MIDDLETON AGGREGATES LIMITED,MEDIUM / LARGE,279107.22,2012
MEDPAGE LIMITED,SMALL BUSINESS,54077.24,2012
CHARING GARDENS LIMITED,MEDIUM / LARGE,15050.88,2014
ENTERPRISE PRIVATE HIRE LIMITED,SMALL BUSINESS,794000.46,2011
THOROUGHBRED INDUSTRIAL DOORS LIMITED,SMALL BUSINESS,21811,2011
NORFOLK MARINE (CHANDLERS) LIMITED,SMALL BUSINESS,2553.58,2011
HETHERSETT OLD HALL SCHOOL LIMITED,MEDIUM / LARGE,13216.5,2012
HUGH CRANE CLEANING EQUIPMENT LIMITED,MEDIUM / LARGE,4132.86,2011
ALPHA MANAGEMENT SERVICES LTD,SMALL BUSINESS,310802.98,2013
BROADWOOD EDUCATIONAL SERVICES LIMITED,MEDIUM / LARGE,46400,2014
COMENSURA LIMITED,MEDIUM / LARGE,1372845.56,2013
RICOH UK LIMITED,MEDIUM / LARGE,488800.94,2014
ALAN R CROSS & SON LTD,SMALL BUSINESS,349857.54,2012
GABLES 1963 LIMITED,,240073.359999999,2012
STAGECOACH SERVICES LIMITED,MEDIUM / LARGE,3709812.34,2014
LUSHER CONTRACTS LIMITED,SMALL BUSINESS,78827.46,2014
FOUR SEASONS HEALTH CARE LIMITED,MEDIUM / LARGE,647955.300000003,2012
HENRY LING LIMITED,MEDIUM / LARGE,16242,2012
IMPROVEMENT DEVELOPMENT GROWTH LIMITED,MEDIUM / LARGE,1000,2013
THE DRIVE CARE HOMES LIMITED,MEDIUM / LARGE,56691.48,2014
SPONGE UK LIMITED,SMALL BUSINESS,55660,2013
WOODHAVEN HOMES LIMITED,SMALL BUSINESS,12038.4,2014
SONATA SECURITY LIMITED,SMALL BUSINESS,79207.88,2012
ANGLIAN INSULATIONS LIMITED,SMALL BUSINESS,329275.2,2012
SANDERS COACHES LIMITED,SMALL BUSINESS,5696240.88,2011
SUNRISE OPERATIONS HALE BARNS LIMITED,MEDIUM / LARGE,47627.16,2013
T. HAYNES CHORLEY & COMPANY LIMITED,SMALL BUSINESS,10217.6,2011
I.D. SWEEPERS LIMITED,SMALL BUSINESS,1200,2011
C.T.S. SECURITY LIMITED,SMALL BUSINESS,1353.8,2012
ACORN CARE RESIDENTIAL SERVICES LIMITED,MEDIUM / LARGE,185976.06,2012
THE VERDERERS LTD,SMALL BUSINESS,5600,2011
GETAFIX LTD,SMALL BUSINESS,7800,2011
BTC GROUP LIMITED,SMALL BUSINESS,58.72,2014
INTEGRATED NURSING HOMES LIMITED,MEDIUM / LARGE,1379970.5,2012
BSI MANAGEMENT SYSTEMS LTD.,MEDIUM / LARGE,22594,2011
SMITCARE LTD,SMALL BUSINESS,209445.44,2012
HELPLINES PARTNERSHIP,MEDIUM / LARGE,3930,2013
FORTEK COMPUTERS LIMITED,MEDIUM / LARGE,231031.86,2012
MEDIA PROJECTS EAST LTD.,SMALL BUSINESS,10000,2013
REDFERN TRAVEL LIMITED,MEDIUM / LARGE,41862.88,2014
OAKHILL PUBLISHING LIMITED,SMALL BUSINESS,23967.3,2012
ANGLIA RUSKIN ENTERPRISE LTD,MEDIUM / LARGE,5500,2013
ELIZABETH COURT REST HOME LIMITED,SMALL BUSINESS,38507.1,2011
W R & P J TANN LIMITED,SMALL BUSINESS,11250,2014
COMMUNITY PRODUCTS (UK) LIMITED,MEDIUM / LARGE,135553.08,2011
THE AYLSHAM MANOR,,228475.62,2013
HATCH BRENNER LLP,SMALL BUSINESS,31157.24,2012
SAFE HANDS DAY NURSERY (DISS) LIMITED,SMALL BUSINESS,4436,2011
IRG ADVISORS LLP,MEDIUM / LARGE,11200,2014
GLASDON (UK) LIMITED,MEDIUM / LARGE,3451.2,2011
OAKRIDGE REST HOME,,14800,2011
APS CARE LTD,SMALL BUSINESS,119049.66,2014
COMMUNITY MEDIA ASSOCIATION,MEDIUM / LARGE,6900,2013
MCKENZIE PHILIPS ACCOUNTANTS LIMITED,NOT DEFINED,50000,2014
ADVANTAGE HEALTHCARE NURSING AND CARE LIMITED,NOT DEFINED,35509.1,2014
SADLERS CARTON STOCKHOLDERS LIMITED,SMALL BUSINESS,2352,2012
DEPARTMENT FOR WORK AND PENSIONS,,3470,2011
ALLIED HEALTHCARE GROUP LIMITED,MEDIUM / LARGE,618324.92,2013
ASHLEY CARE HOMES LIMITED,MEDIUM / LARGE,531511.280000001,2012
ZION CARE (ST ALBANS) LIMITED,SMALL BUSINESS,47320,2012
TYCO INTEGRATED SYSTEMS LIMITED,NOT DEFINED,83961.36,2013
IRS LIMITED,SMALL BUSINESS,244625.7,2012
ACORN CARE AND EDUCATION LIMITED,MEDIUM / LARGE,1214265.76,2014
BURE VALLEY PLANT HIRE LIMITED,SMALL BUSINESS,133195.92,2011
EM COMMUNICATIONS LIMITED,SMALL BUSINESS,4511.88,2012
SERIF (EUROPE) LIMITED,MEDIUM / LARGE,882.98,2012
SUNBEAM LUXURY COACHES LIMITED,SMALL BUSINESS,66629.26,2014
QUEST FIBRES LIMITED,SMALL BUSINESS,9723.24,2011
NORFOLK CARE LINK LIMITED,NOT DEFINED,24998,2012
KIER CONSTRUCTION LIMITED,MEDIUM / LARGE,1090424,2014
THE RED CAT PARTNERSHIP LIMITED,SMALL BUSINESS,210,2014
FORGE HOUSE GROUP LIMITED,SMALL BUSINESS,5997,2012
W.D.M.LIMITED,MEDIUM / LARGE,251893.68,2012
WEST NORFOLK CONSTRUCTION LIMITED,,24913.7,2013
GEORGINA HOUSE LIMITED,SMALL BUSINESS,189233.68,2013
KID EASE LIMITED,SMALL BUSINESS,1047.6,2011
ECKLING GRANGE LIMITED,MEDIUM / LARGE,1260814.04,2012
CARETECH COMMUNITY SERVICES LIMITED,MEDIUM / LARGE,347362.24,2012
R G-RACKHAM LIMITED,SMALL BUSINESS,30815.18,2012
GIROVAC LIMITED,SMALL BUSINESS,1186.5,2011
CROSSROADS CARE EAST ANGLIA LIMITED,MEDIUM / LARGE,1779746.22,2013
EON ENERGY RESEARCH LTD,,21227.26,2012
TICKETS.COM LIMITED,MEDIUM / LARGE,1250,2014
HUGHES SAFETY SHOWERS LIMITED,MEDIUM / LARGE,7282,2012
KGB COMMERCIAL HEATING LIMITED,NOT DEFINED,4132.96,2014
COLLEYCARE LIMITED,MEDIUM / LARGE,41485.7,2011
THE LEISURE MEDIA COMPANY LIMITED,SMALL BUSINESS,1510,2012
WYBERTON PRIMARY SCHOOL,EDUCATION,1952,2012
CANON (UK) LIMITED,MEDIUM / LARGE,9460,2014
DOVELEIGH CARE LIMITED,SMALL BUSINESS,40664,2012
BROADLAND WINDOWS LIMITED,SMALL BUSINESS,115026,2013
COMPUTER SERVICES CENTRE LTD,NOT DEFINED,11432.5,2011
ARENA MEDIA SERVICES LTD,SMALL BUSINESS,25200,2011
AUGUSTA CARE LIMITED,SMALL BUSINESS,189953.44,2014
ECON ENGINEERING LIMITED,MEDIUM / LARGE,7298.5,2011
E.L.GRAIN(SEWING MACHINES)LIMITED,SMALL BUSINESS,2788,2011
SEDDON PROPERTY SERVICES LIMITED,NOT DEFINED,135215.88,2011
GEOTECHNICAL INSTRUMENTS (U.K.) LIMITED,MEDIUM / LARGE,5560,2011
EQUITY COMMUNICATIONS LIMITED,SMALL BUSINESS,1950,2011
RED BALLOON - NORWICH,EDUCATION,220000,2013
A B & J L WILCOX LTD,SMALL BUSINESS,11249.06,2013
NORTH EAST TRUCK & VAN LIMITED,MEDIUM / LARGE,8360,2014
BEACON EAST LIMITED,SMALL BUSINESS,34416.62,2011
RENDLESHAM CARE LIMITED,MEDIUM / LARGE,5930.4,2013
THE MATTHEW PROJECT,MEDIUM / LARGE,99000,2014
F.W. HENDRY (KING'S LYNN) LIMITED,SMALL BUSINESS,222573.2,2012
ISOS PARTNERSHIP (UK) LLP,SMALL BUSINESS,27527.8,2014
EXERCISE ANYWHERE LIMITED,SMALL BUSINESS,1496.68,2011
LLOYDS TSB COMMERCIAL FINANCE LIMITED,MEDIUM / LARGE,56062.4,2014
GREAT YARMOUTH PORT COMPANY LTD,MEDIUM / LARGE,16831.02,2013
RAZZ UK LIMITED,SMALL BUSINESS,2815.6,2014
BROOKLYN HOUSE LIMITED,MEDIUM / LARGE,182950.26,2013
NEXUS FOSTERING LIMITED,SMALL BUSINESS,1403495.66,2013
ELM CONTRACTS (CONTRACTING) LIMITED,SMALL BUSINESS,21023.14,2013
LEATHES PRIOR LIMITED,NOT DEFINED,4000,2013
PLOWDEN & SMITH LIMITED,SMALL BUSINESS,2790,2014
HEALTH PROTECTION AGENCY,,1656.3,2011
LAMBERTS (NORWICH) LIMITED,SMALL BUSINESS,1012.14,2012
SOFTWARE BOX LIMITED,MEDIUM / LARGE,20542.26,2014
G.W. GOOCH & SONS LIMITED,SMALL BUSINESS,315089.26,2013
TBPM 2010 LTD,SMALL BUSINESS,12973.16,2013
WIDER OPTIONS (3) LIMITED,MEDIUM / LARGE,272516.16,2014
RED GATE SOFTWARE LIMITED,MEDIUM / LARGE,34830.62,2012
CAMBRIDGESTYLE CANOPIES LTD.,SMALL BUSINESS,4470,2011
INDEPENDENT SOCIAL WORK MATTERS LTD,SMALL BUSINESS,8710,2011
WENSUM VALLEY SERVICES LTD,SMALL BUSINESS,27895.28,2011
GREBE COACHES LIMITED,SMALL BUSINESS,340172.2,2012
BRITANNIA STORAGE SYSTEMS LIMITED,SMALL BUSINESS,2960,2011
SPECIALIST ACCESS TRAINING LIMITED,SMALL BUSINESS,540,2014
CREATIVE SPONGE LIMITED,SMALL BUSINESS,46616,2012
MR TREE LIMITED,MEDIUM / LARGE,9820,2012
E92 PLUS LIMITED,MEDIUM / LARGE,31540,2012
MANORCOURT CARE (NORFOLK) LIMITED,MEDIUM / LARGE,1518261.44,2013
DND CHILDCARE LIMITED,SMALL BUSINESS,2892.4,2011
WESTCLIFF LODGE LIMITED,SMALL BUSINESS,59407.44,2011
VOYAGE 1 LIMITED,MEDIUM / LARGE,4651228.63999999,2011
REAL ESTATES (EAST ANGLIA) LIMITED,SMALL BUSINESS,7200,2012
CIVIC RISK LIMITED,SMALL BUSINESS,2100,2014
LANYARDS ETC. LIMITED,SMALL BUSINESS,1825,2013
ATTAIN2GAIN LTD,SMALL BUSINESS,1050,2011
SELESTI LIMITED,SMALL BUSINESS,8140.02,2012
GBC CONSTRUCTION LIMITED,NOT DEFINED,83490,2013
NAACE TRADING LIMITED,MEDIUM / LARGE,960,2011
CONNIE'S CARE SERVICES LTD,,13686.84,2013
IDOX SOFTWARE LTD,MEDIUM / LARGE,18905.48,2014
SCANDIA JOINERY LIMITED,NOT DEFINED,117974.98,2013
THERA EAST ANGLIA,MEDIUM / LARGE,1911584.14,2014
CEMEX UK OPERATIONS LIMITED,MEDIUM / LARGE,24665.08,2013
ROOKWOOD RESIDENTIAL HOME,,84507.44,2013
ANGLIAN PUMPING SERVICES LIMITED,SMALL BUSINESS,4687.3,2014
CHOICES ESTATE AGENTS LIMITED,SMALL BUSINESS,1465.46,2012
BOC LIMITED,MEDIUM / LARGE,4377.82,2014
PIVOTELL LIMITED,SMALL BUSINESS,34247.8,2011
DEREHAM COACHWAYS LIMITED,SMALL BUSINESS,90515.7,2014
REEVE PROPERTY RESTORATION LTD,SMALL BUSINESS,352534.94,2012
PARKLAND ENGINEERING LIMITED,SMALL BUSINESS,4592,2012
CONNEVANS LIMITED,SMALL BUSINESS,1692.54,2014
PLANTSCAPE EXTERIOR LIMITED,SMALL BUSINESS,1134,2014
CLUB VITA LLP,MEDIUM / LARGE,20000,2014
ALTHEA HEALTHCARE LIMITED,MEDIUM / LARGE,119554.88,2013
FINNEY OF GAYWOOD LIMITED,SMALL BUSINESS,19240,2014
CREATIVE SOLUTIONS 4 U LIMITED,SMALL BUSINESS,2041,2012
THE NR5 PROJECT,MEDIUM / LARGE,685937.8,2011
RAM MOUNT UK LIMITED,SMALL BUSINESS,2730.18,2013
ITSO LIMITED,MEDIUM / LARGE,8731.08,2014
RANC CARE HOMES LIMITED,MEDIUM / LARGE,44200.3,2013
24 X 7 LTD.,SMALL BUSINESS,412297.66,2014
HILLVIEW CARE LIMITED,SMALL BUSINESS,47846.64,2011
BURDESS ENGINEERING LIMITED,SMALL BUSINESS,3820,2011
LANTRA,MEDIUM / LARGE,1316,2014
EAST COAST INSULATIONS LIMITED,NOT DEFINED,40090,2013
GEOWISE LIMITED,SMALL BUSINESS,336,2014
SOVEREIGN DIAMOND SERVICES LIMITED,SMALL BUSINESS,20900,2013
EAST OF ENGLAND BROADBAND NETWORK,SMALL BUSINESS,381661.66,2011
HEREWARD CARE SERVICES LTD,MEDIUM / LARGE,240679.02,2013
MATTHEW WILLIAMS DIGGER HIRE LIMITED,SMALL BUSINESS,226900,2012
GREMEDIA SCREENPRINT LTD,SMALL BUSINESS,2070,2013
RPM SOLUTIONS LTD,NOT DEFINED,2856.62,2012
BROSCH DIRECT LIMITED,MEDIUM / LARGE,1914.5,2013
LAMB'S SIGNS LIMITED,SMALL BUSINESS,24244,2012
F.W. FROST (ENGINEERS) LIMITED,SMALL BUSINESS,11305.4,2012
NORFOLK SKI CLUB LIMITED(THE),MEDIUM / LARGE,8770,2012
SAPPHIRE INVESTIGATIONS BUREAU LIMITED,MEDIUM / LARGE,5195.78,2012
LEARNING POOL LIMITED,SMALL BUSINESS,132500,2011
THE ROYAL BANK OF SCOTLAND COMMERCIAL SERVICES LIMITED,NOT DEFINED,22425,2013
LEAF HOMECARE & SUPPORT SERVICES LIMITED,SMALL BUSINESS,492580.54,2012
121 SOCIAL CARE LIMITED,SMALL BUSINESS,12693.5,2013
EASTEC LTD,SMALL BUSINESS,25118.76,2011
PITNEY BOWES SOFTWARE LIMITED,MEDIUM / LARGE,9558,2012
G.& E.AUTOMATIC EQUIPMENT LIMITED,SMALL BUSINESS,3654,2011
ANGLO SCOTTISH EQUIPMENT (SOUTHERN) LTD.,SMALL BUSINESS,30412.58,2011
GYB SERVICES LIMITED,MEDIUM / LARGE,0,2013
TARMAC LIMITED,NOT DEFINED,595904.56,2011
APOLLO IMAGING LIMITED,SMALL BUSINESS,2755,2012
UK POWER NETWORKS (OPERATIONS) LIMITED,MEDIUM / LARGE,25869.82,2013
YMCA TRAINING,CHARITY,32963.32,2012
FACTOR 21 PLC,MEDIUM / LARGE,17920,2013
WINNING WAYS CONSULTANTS LIMITED,MEDIUM / LARGE,2220,2011
NATIONAL EXPRESS LIMITED,MEDIUM / LARGE,523504.02,2011
GARRAN LOCKERS LIMITED,MEDIUM / LARGE,5653.12,2014
MARINE TECH ENGINEERING LTD,SMALL BUSINESS,4921.68,2012
EAST COAST WASTE LIMITED,SMALL BUSINESS,3200,2012
PARKSIDE FEDERATION ACADEMIES,MEDIUM / LARGE,12714,2014
NGF PLAY LTD,NOT DEFINED,14481.26,2013
NELLSAR LIMITED,MEDIUM / LARGE,4238.52,2013
MAKE LEARN AND PLAY LIMITED,SMALL BUSINESS,1769.68,2013
TROJAN CONSULTANTS LIMITED,SMALL BUSINESS,8580,2012
SAFER PLACES,MEDIUM / LARGE,20000,2011
BARCHESTER HEALTHCARE FOUNDATION,MEDIUM / LARGE,281989.68,2011
CHILD AND FAMILY TRAINING LIMITED,SMALL BUSINESS,4492.24,2014
MERVYN LAMBERT PLANT LIMITED,MEDIUM / LARGE,132924.54,2014
GARTNER U.K. LIMITED,MEDIUM / LARGE,39000,2011
SHEPPARDS ACCOUNTANTS LIMITED,SMALL BUSINESS,11009.86,2013
MANGAR INTERNATIONAL LIMITED,MEDIUM / LARGE,2076.42,2011
JEESAL D C LIMITED,SMALL BUSINESS,89211.08,2013
JOHN CRANE LIMITED,SMALL BUSINESS,1458,2011
HELEN BROWN MITCHELL TRUST,CHARITY,8400,2011
IMPERIAL COMMERCIALS LTD,MEDIUM / LARGE,8205.38,2012
SERVICE POINT UK LIMITED,MEDIUM / LARGE,11643.66,2012
DALY SYSTEMS LIMITED,SMALL BUSINESS,1907,2011
THE PSYCHOLOGY CLINIC OF EAST ANGLIA LIMITED,SMALL BUSINESS,86136.7,2012
BABCOCK TRAINING LIMITED,MEDIUM / LARGE,14000,2012
ABLE TAXIS LIMITED,SMALL BUSINESS,266699.64,2013
INTERIM SOLUTIONS OF LOUGHTON LIMITED,SMALL BUSINESS,78400,2014
SHIPBOURNE HOUSE LIMITED,SMALL BUSINESS,111287.66,2014
INCATERN LIMITED,SMALL BUSINESS,27467.34,2014
MARTIN REYNOLDS CONSTRUCTION LIMITED,NOT DEFINED,2336114.74,2014
DALMENY HOUSE,,131233.74,2014
CA TRAFFIC LIMITED,MEDIUM / LARGE,15657.02,2013
NORFOLK NETWORK LIMITED,NOT DEFINED,6000,2014
SOFTCAT LIMITED,MEDIUM / LARGE,925.92,2013
LOCK INSPECTION SYSTEMS LIMITED,MEDIUM / LARGE,1459.38,2013
BANDKAY ENTERPRISES LIMITED,SMALL BUSINESS,1520,2012
DAWN TIL DUSK LINGERIE LTD,SMALL BUSINESS,4620,2014
HIGH DENE RESIDENTIAL HOME LIMITED,SMALL BUSINESS,22904,2012
FIFIELD GLYN LIMITED,SMALL BUSINESS,53568.46,2012
K W JONES & SON LIMITED,SMALL BUSINESS,4145.42,2014
BALMFORTHS LTD,SMALL BUSINESS,1260,2011
ALLFIX (UK) LIMITED,SMALL BUSINESS,4085.2,2012
HOME JAMES CARS LIMITED,SMALL BUSINESS,51784.52,2013
CITYGATE DEVELOPMENTS 2005 LIMITED,SMALL BUSINESS,161664.78,2011
BLACK SWAN INTERNATIONAL LIMITED,MEDIUM / LARGE,2780346.7,2012
FOUR SEASONS (NO 11) LIMITED,MEDIUM / LARGE,47164.58,2014
FRONTIER-PITTS LIMITED,MEDIUM / LARGE,14400,2012
MAYFIELD HOUSE RESIDENTIAL CARE HOME LIMITED,SMALL BUSINESS,57200,2012
UNWIND AUDIO CIC,NOT DEFINED,14397.5,2011
LECWAY SERVICES LIMITED,SMALL BUSINESS,138741.5,2012
A.R.WILSON LIMITED,SMALL BUSINESS,101109.56,2011
CLARIFI CONSULTING LTD,SMALL BUSINESS,9520,2012
D & T TAXIS,NOT DEFINED,3920,2012
HENDERSON GLOBAL INVESTORS LIMITED,MEDIUM / LARGE,1337.86,2014
CONSENSUS SUPPORT SERVICES LIMITED,MEDIUM / LARGE,270445.06,2014
NORSE TRANSPORT,MEDIUM / LARGE,1716237.7,2012
BEN'S SOCIAL ENTERPRISES LTD,MEDIUM / LARGE,1010.84,2013
OPEN UNIVERSITY(THE),NOT DEFINED,2702,2014
SPRATT'S COACHES (EAST ANGLIAN & CONTINENTAL) LIMITED,SMALL BUSINESS,56010.24,2013
COLIN DAWSON WINDOWS LIMITED,SMALL BUSINESS,118448.1,2011
CLS CARE SERVICES LIMITED,NOT DEFINED,27984.18,2011
STEELES (LAW) LLP,MEDIUM / LARGE,3710,2013
HATFIELD INVESTMENTS LIMITED,SMALL BUSINESS,51886.62,2014
WHICH? LIMITED,MEDIUM / LARGE,7674,2011
NEWSON SWIMMING POOLS LIMITED,SMALL BUSINESS,8435.52,2011
